"id","speed","travel_time","status","data_as_of","link_id","link_points","encoded_poly_line","encoded_poly_line_lvls","owner","transcom_id","borough","link_name"
"433","0","0","-101","2025-12-08T10:53:03.000","4616215","40.52561,-74.23039 40.5258705,-74.22618 40.5263604,-74.22336 40.52734,-74.22338 40.5371,-74.2243 40.53931,-74.22418 40.5407805,-74.223981 40.54437,-74.22283 40.5466005,-74.22172 40.54831,-74.22059","adjvF\\|badMs@iYaBsPcEB_\\|@vDyLWeHg@mUeF}L}EuIaF","BBBBBBBBBB","NYC_DOT_LIC","4616215","Staten Island","WSE N TYRELLAN AVENUE - BLOOMINGDALE ROAD"
"383","50.33","149","-101","2025-12-08T10:53:03.000","4616217","40.6167105,-74.15242 40.61572,-74.15276 40.6148106,-74.152971 40.6140506,-74.15282 40.61301,-74.15227 40.61034,-74.150871 40.6096,-74.150101","m}{vFr{qcMdEbAtDh@vC]nEmBtOwGrCyC","BBBBBBB","NYC_DOT_LIC","4616217","Staten Island","SIE W - MLK N WOOLEY AVENUE - WLAKER STREET"
"258","34.79","123","0","2025-12-08T10:53:03.000","4616220","40.6162405,-74.02612 40.61923,-74.02361 40.62362,-74.019831 40.6248406,-74.019061 40.62579,-74.01859 40.6279004,-74.017721 40.63049,-74.01676 40.63239,-74.016061 40.63336,-74.01586","oz{vFffybMuQuNmZsVsFyC}D}AeLmDeO_E{JkCaEg@","BBBBBBBBB","NYC_DOT_LIC","4616220","Brooklyn","GOW N 92ND STREET - 7TH AVENUE"
"259","4.97","798","0","2025-12-08T10:53:03.000","4616223","40.6756,-74.841 40.67643,-74.001241 40.6772405,-74.001741 40.6783605,-74.002531 40.67925,-74.00331 40.6795705,-74.00341 40.68001,-74.00332 40.6805806,-74.003031 40.6814704,-74.0026 40.68522,-74.76 40.6872004,-73.999811 40.6892206,-73.99885 40.68972,-73.99","omgwFfhtbMeDnAaDbB_F\\|CqDzC_ARwAQqBy@qDuAmVoJkK}DsK_EcBc@yBAuBb@yBt@","BBBBBBBBBBBBBBBB","NYC_DOT_LIC","4616223","Brooklyn","GOW N 9TH STREET - ATLANTIC AVENUE"
"261","48.46","88","0","2025-12-08T10:53:03.000","4616226","40.61632,-74.0263 40.61928,-74.02375 40.6237206,-74.019951 40.6248,-74.01925 40.62583,-74.018741 40.6279506,-74.017891 40.63065,-74.01698 40.63237,-74.016321 40.6332305,-74.016151","_{{vFjgybMoQ}NwZwVwEkCmEeBgLiD{OuDwIcCkDa@","BBBBBBBBB","NYC_DOT_LIC","4616226","Brooklyn","GOW S 7TH AVENUE - 92ND STREET"
"354","59.65","136","0","2025-12-08T10:53:03.000","4616228","40.8859405,-73.89676 40.88698,-73.89528 40.8876205,-73.89407 40.8884506,-73.89185 40.8891906,-73.889041 40.88976,-73.88773 40.8907504,-73.886441 40.8938205,-73.883351 40.8966206,-73.88065 40.8978505,-73.879821 40.8992805,-73.879331 40.90706,-73.87806 40.9","cppxFv}_bMoEgH_CqFeD{LsCqPqBeGeEaGeRiRoP{OuFeD}GaBso@}FsN}AsD_BcCqBiFaG","BBBBBBBBBBBBBBBB","NYC_DOT_LIC","4616228","Bronx","I-87 NYST S Exit 1 - MDE S Van Cortlandt Park"
"154","44.11","92","0","2025-12-08T10:53:03.000","4616229","40.6757405,-74.00126 40.6765204,-74.0018 40.67817,-74.003221 40.67864,-74.003471 40.67925,-74.0036 40.6796,-74.00358 40.68003,-74.003441 40.6806205,-74.003161 40.68153,-74.00273 40.6853005,-74.891 40.68726,-73.999951 40.6892405,-73.99899 40.68972,-73.9988","kngwFzjtbM{CjBiIzG}Ap@yBXeACuA[uBw@uDuAqVoJgK{DkK_E_Ba@yBEuBj@eCt@","BBBBBBBBBBBBBBBB","NYC_DOT_LIC","4616229","Brooklyn","BQE S - GOW S ALTANTIC AVENUE - 9TH STREET"
"453","49.7","111","0","2025-12-08T10:53:03.000","4616239","40.7714206,-73.83345 40.7702704,-73.8354 40.76924,-73.836711 40.7675005,-73.838271 40.76592,-73.839261 40.7654804,-73.83954 40.7649004,-73.839841 40.76456,-73.83995 40.76418,-73.84001 40.7636705,-73.84 40.7633,-73.839941 40.7626006,-73.839671","kdzwF`rsaMdFdKlEdGzIvHzHdEvAv@rBz@bATjAJdBAhAKjCu@","BBBBBBBBBBBB","NYC_DOT_LIC","4616239","Queens","Whitestone Expwy S Exit 14 (Linden Pl) - VWE S MP8.65 (Exit 13 Northern Blvd)"
"428","53.43","99","0","2025-12-08T10:53:03.000","4616241","40.7626006,-73.839671 40.7613906,-73.83898 40.7610504,-73.83887 40.7605406,-73.83879 40.76001,-73.838821 40.75831,-73.83897 40.75788,-73.8389340.75562,-73.83847 40.75513,-73.83834 40.75455,-73.83811 40.7513,-73.835911 40.75041,-73.8353 40.7498406,-73.8350","gmxwF\\|xtaMpFiCbAUdBOhBDrI\tAGbM{A`BYrBm@hSwLpDyBpBw@\\|A_@jBMrCLbEjA~BdBjCvBf@XnAlAbBhAvB\\|@xAZdBRtABjCItKoBpGmAvTcAfCc@\\|EeBt`@oP","BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB","NYC_DOT_LIC","4616241","Queens","VWE S MP8.65 (Exit 13 Northern Blvd) - MP6.39 (Exit 11 Jewel Ave)"
"129","57.16","81","0","2025-12-08T10:53:03.000","4616246","40.8240706,-73.874311 40.8247,-73.86959 40.8251906,-73.86596 40.82536,-73.86426 40.82587,-73.85961 40.8266006,-73.85424 40.8271806,-73.84994","mmdxFjq{aM}Bm\aBwUa@sIeB_\qCq`@sB{Y","BBBBBBB","NYC_DOT_LIC","4616246","Bronx","BE N STRATFORD AVENUE - CASTLE HILL AVE"
"126","51.57","144","0","2025-12-08T10:53:03.000","4616247","40.8271606,-73.84993 40.82771,-73.84671 40.8284105,-73.843471 40.82869,-73.84133 40.8287905,-73.8386 40.82891,-73.837 40.8292,-73.835541 40.82968,-73.834031 40.8305,-73.83239 40.83211,-73.82983 40.83305,-73.82826 40.83366,-73.82693 40.8343006,-73.82571","w`exF~xvaMmBaSkCiSw@iLScPW}Hy@eH_BmHcDeIaIaO{DwHyBiG_CsF_C{BmDuAgDIcC`@gDbAgCZ","BBBBBBBBBBBBBBBBBBB","NYC_DOT_LIC","4616247","Bronx","BE N Castle Hill Avenue - Griswold Ave"
"142","46.6","161","0","2025-12-08T10:53:03.000","4616261","40.83037,-73.85062 40.82996,-73.849251 40.8294605,-73.847771 40.8290406,-73.84645 40.8288104,-73.84523 40.8288104,-73.844191 40.82898,-73.842891 40.8298604,-73.838141 40.83005,-73.836841 40.83006,-73.83578 40.8300205,-73.834511 40.8300906,-73.833971 40.83","ytexFj}vaMpAqGbBgHrAgGl@sF?oEa@cGoDu\e@cGAsEF}FMkBe@{Ci@}AyN}XqEcLyA}B_As@uA}@{AWiBEaBRoEdA}DZ","BBBBBBBBBBBBBBBBBBBBBBBB","NYC_DOT_LIC","4616261","Bronx","BE S Griswold - Castle Hill Avenue"
"160","0","0","-101","2025-12-08T10:53:03.000","4616266","40.8562805,-73.87254 40.8521804,-73.871581 40.8501706,-73.871451 40.8483304,-73.871491 40.8458506,-73.87152 40.84239,-73.872261 40.83964,-73.87291 40.8363,-73.8739 40.8349506,-73.87408 40.83339,-73.87407 40.8319705,-73.873921 40.8298404,-73.873331 40.8268","wvjxFjf{aMrX_EpKYnJFnNDrTrCdP`CzSdElGb@vHAzG]hLuB\\|Q{A","BBBBBBBBBBBBB","NYC_DOT_LIC","4616266","Bronx","BRP S FORDHAM ROAD - WATSON AVENUE"
"185","52.19","48","0","2025-12-08T10:53:03.000","4616267","40.8304204,-73.850811 40.83156,-73.854671 40.83238,-73.857341 40.83312,-73.859891 40.83335,-73.86046 40.83352,-73.86113 40.8337406,-73.862011 40.83415,-73.86333 40.8345205,-73.86458 40.8350406,-73.866311","cuexFp~vaMcFbWcDtOsC\\|Nm@pBa@dCk@nDqAfGiAxFgBxI","BBBBBBBBBB","NYC_DOT_LIC","4616267","Bronx","CBE W CASTLE HILL AVENUE - TAYLOR AVENUE"
"178","52.19","159","0","2025-12-08T10:53:03.000","4616297","40.8302204,-73.850641 40.8295305,-73.848401 40.8291004,-73.847491 40.82836,-73.8459 40.8281405,-73.84524 40.8280305,-73.844641 40.827991,-73.843911 40.82804,-73.842981 40.8281906,-73.841761 40.8286304,-73.83844 40.82887,-73.83673 40.8291904,-73.83548 40.8","{sexFn}vaMhC_MtAuDrC}Hj@cCTwBFqCIyD]sFwAwSo@uI_AyFe@wBmAmE}A}DwAsCyFqK{DmH}AuD{D_KeCiCiCmAuDQwC`@kH`B","BBBBBBBBBBBBBBBBBBBBBBBBB","NYC_DOT_LIC","4616297","Bronx","CBE E CASTLE HILL AVE - BE N WATERBURY AVE"
"423","53.43","100","0","2025-12-08T10:53:03.000","4616299","40.7624804,-73.839391 40.76191,-73.839121 40.76153,-73.83892 40.76122,-73.83879 40.7609604,-73.838721 40.76061,-73.838681 40.76024,-73.83869 40.7587705,-73.83884 40.75845,-73.838811 40.7581404,-73.838771 40.7558805,-73.838371 40.75522,-73.8382 40.75473,-7","olxwFdwtaMpBu@jAg@\\|@Yr@MdAGhA@dH\~@E\\|@GbMoAbCa@`Be@\\|Aq@`EaCvMeI\\|BqAbAa@vA_@dAMhAGjA@jAL\\|@N\\|Aj@tBhA~BlBnFnEp@^xAr@vCh@jDJ~AIdAO`GiApFgAvCc@~Qy@rC[nBi@lCeAjKmEpNcGjEkB","BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB","NYC_DOT_LIC","4616299","Queens","VWE N MP6.39 (Exit 11 Jewel Ave) - MP8.65 (Exit 13 Northern Blvd)"
"424","47.22","113","0","2025-12-08T10:53:03.000","4616300","40.77125,-73.833351 40.77065,-73.834421 40.77006,-73.8354 40.769341,-73.83641 40.76874,-73.836931 40.7679705,-73.837601 40.7672504,-73.83798 40.7659105,-73.83889 40.76558,-73.839031 40.7650104,-73.83937 40.7646304,-73.83955 40.764281,-73.83965 40.76377,-7","iczwFlqsaMvBtEtBbEnChEvBfBxCdCnCjAjGtD`AZpBbAjAb@dARdBLnACz@MtBo@","BBBBBBBBBBBBBBBB","NYC_DOT_LIC","4616300","Queens","VWE N MP8.64 (Exit 13 Northern Blvd) - Whitestone Expwy Exit 14 (Linden Pl)"
